1/20/2020 11:27,2,nan,nan,0.0,0,20,20,4,1,2020,108,20-Jan,108,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/21/2020 9:11,2,nan,nan,0.0,1,21,21,4,1,2020,110,21-Jan,110,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/21/2020 13:55,2,nan,nan,0.0,1,21,21,4,1,2020,112,21-Jan,112,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/22/2020 8:59,4,nan,nan,1.0,2,22,22,4,1,2020,116,22-Jan,116,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/22/2020 11:01,3,nan,nan,0.0,2,22,22,4,1,2020,119,22-Jan,119,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/22/2020 13:26,1,nan,nan,0.0,2,22,22,4,1,2020,120,22-Jan,120,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/22/2020 16:14,2,nan,nan,0.0,2,22,22,4,1,2020,122,22-Jan,122,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/24/2020 10:44,2,nan,nan,0.0,4,24,24,4,1,2020,124,24-Jan,124,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/27/2020 11:19,2,nan,nan,0.0,0,27,27,5,1,2020,126,27-Jan,126,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/27/2020 13:13,1,nan,nan,0.0,0,27,27,5,1,2020,127,27-Jan,127,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/27/2020 13:45,1,nan,nan,0.0,0,27,27,5,1,2020,128,27-Jan,128,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/27/2020 16:05,1,nan,nan,0.0,0,27,27,5,1,2020,129,27-Jan,129,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/28/2020 7:27,4,nan,nan,0.0,1,28,28,5,1,2020,133,28-Jan,133,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/28/2020 9:03,3,nan,nan,0.0,1,28,28,5,1,2020,136,28-Jan,136,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/28/2020 10:31,3,nan,nan,0.0,1,28,28,5,1,2020,139,28-Jan,139,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/28/2020 13:08,1,nan,nan,0.0,1,28,28,5,1,2020,140,28-Jan,140,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/29/2020 11:29,1,nan,nan,0.0,2,29,29,5,1,2020,141,29-Jan,141,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/29/2020 13:14,2,nan,nan,0.0,2,29,29,5,1,2020,143,29-Jan,143,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/31/2020 5:15,3,nan,nan,0.0,4,31,31,5,1,2020,146,31-Jan,146,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/31/2020 10:36,3,nan,nan,0.0,4,31,31,5,1,2020,149,31-Jan,149,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/31/2020 12:46,5,nan,nan,0.0,4,31,31,5,1,2020,154,31-Jan,154,nan,nan,nan,nan,nan,nan,nan,nan,nan
1/31/2020 14:23,1,nan,nan,0.0,4,31,31,5,1,2020,155,31-Jan,155,nan,nan,nan,nan,nan,nan,nan,nan,nan
02/02/2020 11:35,1,nan,nan,0.0,6,33,2,5,2,2020,156,02-Feb,1,nan,nan,nan,nan,nan,nan,nan,nan,nan
02/02/2020 16:43,4,nan,nan,1.0,6,33,2,5,2,2020,160,02-Feb,5,nan,nan,nan,nan,nan,nan,nan,nan,nan
02/03/2020 9:17,2,nan,nan,0.0,0,34,3,6,2,2020,162,03-Feb,7,nan,nan,nan,nan,nan,nan,nan,nan,nan
02/03/2020 10:19,2,nan,nan,0.0,0,34,3,6,2,2020,164,03-Feb,9,nan,nan,nan,nan,nan,nan,nan,nan,nan
02/03/2020 13:01,1,nan,nan,0.0,0,34,3,6,2,2020,165,03-Feb,10,nan,nan,nan,nan,nan,nan,nan,nan,nan
